Date,Electricity_Price_EUR_per_MWh
2015-10-17,43.62
2015-10-18,40.71
2015-10-19,54.44
2015-10-20,53.19
2015-10-21,51.79
2015-10-22,49.08
2015-10-23,50.02
2015-10-24,39.24
2015-10-25,36.34
2015-10-26,47.27
2015-10-27,45.6
2015-10-28,49.37
2015-10-29,50.71
2015-10-30,45.07
2015-10-31,36.75
2015-11-01,30.66
2015-11-02,42.55
2015-11-03,45.47
2015-11-04,46.3
2015-11-05,46.22
2015-11-06,39.69
2015-11-07,33.78
2015-11-08,30.37
2015-11-09,37.28
2015-11-10,41.09
2015-11-11,36.69
2015-11-12,46.38
2015-11-13,38.56
2015-11-14,39.08
2015-11-15,33.02
2015-11-16,37.64
2015-11-17,35.72
2015-11-18,42.77
2015-11-19,40.98
2015-11-20,39.66
2015-11-21,33.1
2015-11-22,37.06
2015-11-23,64.64
2015-11-24,60.1
2015-11-25,55.5
2015-11-26,57.14
2015-11-27,53.67
2015-11-28,37.59
2015-11-29,30.73
2015-11-30,37.51
2015-12-01,45.39
2015-12-02,53.56
2015-12-03,45.3
2015-12-04,38.21
2015-12-05,36.78
2015-12-06,31.29
2015-12-07,40.8
2015-12-08,38.07
2015-12-09,52.08
2015-12-10,50.62
2015-12-11,46.24
2015-12-12,38.6
2015-12-13,37.61
2015-12-14,48.62
2015-12-15,44.48
2015-12-16,38.05
2015-12-17,33.74
2015-12-18,35.11
2015-12-19,28.97
2015-12-20,20.68
2015-12-21,32.94
2015-12-22,29.52
2015-12-23,30.47
2015-12-24,22.29
2015-12-25,17.92
2015-12-26,14.97
2015-12-27,18.7
2015-12-28,30.52
2015-12-29,33.61
2015-12-30,29.73
2015-12-31,24.07
2016-01-01,23.59
2016-01-02,23.32
2016-01-03,17.69
2016-01-04,28.44
2016-01-05,33.9
2016-01-06,34.97
2016-01-07,34.49
2016-01-08,32.06
2016-01-09,28.62
2016-01-10,21.06
2016-01-11,32.56
2016-01-12,31.47
2016-01-13,36.62
2016-01-14,39.47
2016-01-15,39.2
2016-01-16,35.46
2016-01-17,35.93
2016-01-18,47.73
2016-01-19,54.36
2016-01-20,59.05
2016-01-21,59.33
2016-01-22,42.7
2016-01-23,33.25
2016-01-24,31.19
2016-01-25,31.59
2016-01-26,31.05
2016-01-27,27.03
2016-01-28,30.84
2016-01-29,29.09
2016-01-30,18.84
2016-01-31,16.6
2016-02-01,23.45
2016-02-02,23.34
2016-02-03,24.72
2016-02-04,26.78
2016-02-05,28.45
2016-02-06,16.54
2016-02-07,13.56
2016-02-08,19.93
2016-02-09,24.2
2016-02-10,27.93
2016-02-11,31.92
2016-02-12,28.59
2016-02-13,22.93
2016-02-14,16.23
2016-02-15,26.51
2016-02-16,35.23
2016-02-17,39.3
2016-02-18,37.12
2016-02-19,32.8
2016-02-20,19.29
2016-02-21,12.36
2016-02-22,22.71
2016-02-23,30.06
2016-02-24,29.65
2016-02-25,29.62
2016-02-26,28.15
2016-02-27,22.96
2016-02-28,18.38
2016-02-29,27.97
2016-03-01,31.21
2016-03-02,26.42
2016-03-03,29.51
2016-03-04,29.96
2016-03-05,23.84
2016-03-06,21.81
2016-03-07,32.86
2016-03-08,32.3
2016-03-09,28.18
2016-03-10,31.3
2016-03-11,29.68
2016-03-12,27.71
2016-03-13,22.61
2016-03-14,27.97
2016-03-15,29.61
2016-03-16,28.68
2016-03-17,30.26
2016-03-18,31.3
2016-03-19,26.82
2016-03-20,21.11
2016-03-21,32.44
2016-03-22,33.04
2016-03-23,29.96
2016-03-24,28.85
2016-03-25,26.75
2016-03-26,18.86
2016-03-27,11.39
2016-03-28,9.93
2016-03-29,27.58
2016-03-30,29.63
2016-03-31,28.13
2016-04-01,32.23
2016-04-02,25.52
2016-04-03,16.28
2016-04-04,28.69
2016-04-05,27.02
2016-04-06,26.37
2016-04-07,24.5
2016-04-08,28.66
2016-04-09,23.71
2016-04-10,17.28
2016-04-11,24.26
2016-04-12,28.08
2016-04-13,27.86
2016-04-14,26.71
2016-04-15,25.13
2016-04-16,18.75
2016-04-17,18.8
2016-04-18,26.33
2016-04-19,24.58
2016-04-20,24.6
2016-04-21,26.66
2016-04-22,26.49
2016-04-23,21.93
2016-04-24,15.61
2016-04-25,27.28
2016-04-26,29.64
2016-04-27,32.4
2016-04-28,34.08
2016-04-29,30.39
2016-04-30,24.52
2016-05-01,18.98
2016-05-02,28.81
2016-05-03,29.3
2016-05-04,27.48
2016-05-05,19.37
2016-05-06,23.42
2016-05-07,14.69
2016-05-08,7.41
2016-05-09,25.85
2016-05-10,30.04
2016-05-11,27.67
2016-05-12,26.76
2016-05-13,26.63
2016-05-14,13.93
2016-05-15,12.29
2016-05-16,22.43
2016-05-17,31.0
2016-05-18,31.32
2016-05-19,33.44
2016-05-20,28.98
2016-05-21,19.86
2016-05-22,11.75
2016-05-23,30.68
2016-05-24,29.98
2016-05-25,31.42
2016-05-26,29.58
2016-05-27,30.29
2016-05-28,23.41
2016-05-29,11.43
2016-05-30,26.0
2016-05-31,28.42
2016-06-01,30.63
2016-06-02,28.14
2016-06-03,29.52
2016-06-04,25.13
2016-06-05,19.5
2016-06-06,30.52
2016-06-07,29.66
2016-06-08,28.8
2016-06-09,30.24
2016-06-10,28.94
2016-06-11,25.42
2016-06-12,20.98
2016-06-13,29.0
2016-06-14,30.49
2016-06-15,31.55
2016-06-16,31.83
2016-06-17,28.54
2016-06-18,20.95
2016-06-19,15.89
2016-06-20,29.21
2016-06-21,33.44
2016-06-22,33.47
2016-06-23,32.84
2016-06-24,34.06
2016-06-25,24.33
2016-06-26,14.44
2016-06-27,30.19
2016-06-28,33.01
2016-06-29,28.99
2016-06-30,30.98
2016-07-01,29.2
2016-07-02,20.97
2016-07-03,16.62
2016-07-04,34.96
2016-07-05,28.82
2016-07-06,27.52
2016-07-07,31.59
2016-07-08,30.08
2016-07-09,23.76
2016-07-10,18.43
2016-07-11,29.65
2016-07-12,33.08
2016-07-13,33.92
2016-07-14,26.13
2016-07-15,27.4
2016-07-16,25.78
2016-07-17,24.15
2016-07-18,35.93
2016-07-19,37.83
2016-07-20,37.19
2016-07-21,40.12
2016-07-22,36.08
2016-07-23,32.79
2016-07-24,27.24
2016-07-25,36.09
2016-07-26,35.48
2016-07-27,34.19
2016-07-28,33.63
2016-07-29,31.24
2016-07-30,27.85
2016-07-31,25.34
2016-08-01,30.25
2016-08-02,32.44
2016-08-03,29.57
2016-08-04,29.81
2016-08-05,31.99
2016-08-06,24.81
2016-08-07,16.41
2016-08-08,25.05
2016-08-09,28.75
2016-08-10,27.94
2016-08-11,28.08
2016-08-12,28.22
2016-08-13,19.89
2016-08-14,21.92
2016-08-15,27.86
2016-08-16,30.39
2016-08-17,32.75
2016-08-18,32.5
2016-08-19,33.22
2016-08-20,24.21
2016-08-21,15.93
2016-08-22,30.98
2016-08-23,33.54
2016-08-24,34.4
2016-08-25,34.69
2016-08-26,36.74
2016-08-27,33.2
2016-08-28,27.43
2016-08-29,40.31
2016-08-30,39.39
2016-08-31,38.6
2016-09-01,39.32
2016-09-02,37.93
2016-09-03,31.73
2016-09-04,25.46
2016-09-05,42.31
2016-09-06,40.54
2016-09-07,39.82
2016-09-08,34.29
2016-09-09,36.06
2016-09-10,30.53
2016-09-11,28.05
2016-09-12,41.51
2016-09-13,40.02
2016-09-14,40.4
2016-09-15,40.36
2016-09-16,35.83
2016-09-17,31.06
2016-09-18,27.85
2016-09-19,39.06
2016-09-20,41.51
2016-09-21,41.46
2016-09-22,40.93
2016-09-23,42.04
2016-09-24,31.22
2016-09-25,26.61
