Date,Electricity_Price_EUR_per_MWh
2015-10-17,23.4
2015-10-18,23.98
2015-10-19,38.36
2015-10-20,38.6
2015-10-21,32.82
2015-10-22,31.67
2015-10-23,34.55
2015-10-24,31.22
2015-10-25,26.37
2015-10-26,36.1
2015-10-27,35.57
2015-10-28,40.06
2015-10-29,41.1
2015-10-30,39.86
2015-10-31,35.68
2015-11-01,31.29
2015-11-02,43.94
2015-11-03,42.78
2015-11-04,30.32
2015-11-05,43.13
2015-11-06,36.83
2015-11-07,29.78
2015-11-08,29.07
2015-11-09,35.99
2015-11-10,34.64
2015-11-11,34.13
2015-11-12,33.97
2015-11-13,31.14
2015-11-14,21.4
2015-11-15,22.87
2015-11-16,32.71
2015-11-17,31.75
2015-11-18,31.94
2015-11-19,35.47
2015-11-20,34.22
2015-11-21,25.73
2015-11-22,24.75
2015-11-23,63.33
2015-11-24,36.85
2015-11-25,32.92
2015-11-26,33.5
2015-11-27,31.04
2015-11-28,20.73
2015-11-29,19.8
2015-11-30,30.4
2015-12-01,33.74
2015-12-02,39.98
2015-12-03,33.23
2015-12-04,29.49
2015-12-05,14.87
2015-12-06,11.64
2015-12-07,28.7
2015-12-08,31.16
2015-12-09,30.75
2015-12-10,29.25
2015-12-11,36.92
2015-12-12,27.05
2015-12-13,25.81
2015-12-14,40.41
2015-12-15,38.58
2015-12-16,36.29
2015-12-17,35.02
2015-12-18,29.73
2015-12-19,17.25
2015-12-20,12.66
2015-12-21,22.0
2015-12-22,22.11
2015-12-23,16.91
2015-12-24,12.33
2015-12-25,9.22
2015-12-26,12.22
2015-12-27,20.46
2015-12-28,39.85
2015-12-29,33.61
2015-12-30,31.73
2015-12-31,25.27
2016-01-01,16.92
2016-01-02,23.5
2016-01-03,19.31
2016-01-04,29.07
2016-01-05,33.33
2016-01-06,36.52
2016-01-07,57.95
2016-01-08,57.17
2016-01-09,33.76
2016-01-10,29.29
2016-01-11,42.12
2016-01-12,34.26
2016-01-13,36.93
2016-01-14,54.5
2016-01-15,60.64
2016-01-16,29.65
2016-01-17,27.69
2016-01-18,56.7
2016-01-19,56.05
2016-01-20,52.34
2016-01-21,91.23
2016-01-22,53.5
2016-01-23,30.26
2016-01-24,24.67
2016-01-25,33.31
2016-01-26,28.2
2016-01-27,28.87
2016-01-28,29.38
2016-01-29,28.17
2016-01-30,13.92
2016-01-31,21.48
2016-02-01,29.9
2016-02-02,29.85
2016-02-03,30.41
