date,y_pred,lower,upper,country
2026-01-01,91.20361312981926,70.37990120145577,112.02732505818275,austria
2026-01-02,96.7907434048065,75.967031476443,117.61445533317001,austria
2026-01-03,98.33915323250513,77.51544130414163,119.16286516086862,austria
2026-01-04,100.57773779379643,79.75402586543294,121.40144972215992,austria
2026-01-05,101.86611277557337,81.04240084720988,122.68982470393686,austria
2026-01-06,100.84044401050632,80.01673208214282,121.66415593886981,austria
2026-01-07,97.47086757536123,76.64715564699773,118.29457950372472,austria
2026-01-08,98.16872875709912,77.34501682873562,118.99244068546261,austria
2026-01-09,98.34565311586078,77.52194118749728,119.16936504422429,austria
2026-01-10,98.34627109968702,77.52255917132351,119.16998302805052,austria
2026-01-11,98.95493014825634,78.13121821989284,119.77864207661983,austria
2026-01-12,99.30102765555574,78.47731572719223,120.12473958391925,austria
2026-01-13,98.2895971483072,77.46588521994369,119.1133090766707,austria
2026-01-14,95.34267751081948,74.51896558245599,116.16638943918298,austria
2026-01-15,95.2008616576358,74.3771497292723,116.02457358599929,austria
2026-01-16,95.5089930444528,74.6852811160893,116.33270497281629,austria
2026-01-17,95.71952100010763,74.89580907174414,116.54323292847113,austria
2026-01-18,96.02313656730853,75.19942463894503,116.84684849567202,austria
2026-01-19,96.24935564479942,75.42564371643593,117.07306757316292,austria
2026-01-20,96.03785550379389,75.2141435754304,116.86156743215739,austria
2026-01-21,95.13649241336026,74.31278048499675,115.96020434172377,austria
2026-01-22,94.66865148451329,73.8449395561498,115.49236341287678,austria
2026-01-23,94.45800541755523,73.63429348919172,115.28171734591874,austria
2026-01-24,94.34593764708715,73.52222571872366,115.16964957545065,austria
2026-01-25,94.33860865542185,73.51489672705836,115.16232058378534,austria
2026-01-26,94.34475570547187,73.52104377710836,115.16846763383538,austria
2026-01-27,94.1761785055349,73.35246657717141,114.9998904338984,austria
2026-01-28,93.65524182876989,72.8315299004064,114.47895375713338,austria
2026-01-29,93.24368924414024,72.41997731577675,114.06740117250374,austria
2026-01-30,92.97118878715771,72.14747685879422,113.79490071552121,austria
2026-01-31,92.77998053234663,71.95626860398312,113.60369246071014,austria
2026-01-01,67.60207990145057,40.12122413855634,95.08293566434479,germany
2026-01-02,77.18812106536461,49.70726530247039,104.66897682825883,germany
2026-01-03,78.30567540111046,50.82481963821624,105.78653116400469,germany
2026-01-04,79.04376863024561,51.562912867351386,106.52462439313983,germany
2026-01-05,79.35825765636052,51.8774018934663,106.83911341925474,germany
2026-01-06,78.15847931999687,50.67762355710265,105.6393350828911,germany
2026-01-07,73.539317768606,46.058462005711775,101.02017353150022,germany
2026-01-08,73.82835734106133,46.34750157816711,101.30921310395556,germany
2026-01-09,77.78415553772936,50.30329977483514,105.26501130062358,germany
2026-01-10,78.78031810294529,51.299462340051065,106.26117386583951,germany
2026-01-11,79.22577766016485,51.74492189727063,106.70663342305907,germany
2026-01-12,78.49590073277042,51.0150449698762,105.97675649566465,germany
2026-01-13,76.84826559250581,49.36740982961159,104.32912135540003,germany
2026-01-14,74.24654742748027,46.76569166458604,101.72740319037449,germany
2026-01-15,74.47341252715684,46.992556764262616,101.95426829005106,germany
2026-01-16,75.94501795217516,48.46416218928094,103.42587371506939,germany
2026-01-17,76.84775362551134,49.36689786261712,104.32860938840557,germany
2026-01-18,77.34940792542326,49.86855216252904,104.83026368831749,germany
2026-01-19,77.4684268568032,49.98757109390898,104.94928261969743,germany
2026-01-20,77.18395836750638,49.703102604612155,104.6648141304006,germany
2026-01-21,76.32965142424364,48.84879566134941,103.81050718713786,germany
2026-01-22,76.0141971891479,48.53334142625367,103.49505295204212,germany
2026-01-23,76.43107938908335,48.95022362618913,103.91193515197757,germany
2026-01-24,76.85725559615233,49.376399833258105,104.33811135904655,germany
2026-01-25,77.17548831603686,49.69463255314264,104.65634407893108,germany
2026-01-26,77.27811662803909,49.797260865144864,104.75897239093331,germany
2026-01-27,77.13803467065199,49.65717890775777,104.61889043354621,germany
2026-01-28,76.72674878381613,49.24589302092191,104.20760454671036,germany
2026-01-29,76.51432058069504,49.03346481780082,103.99517634358926,germany
2026-01-30,76.60376386317083,49.122908100276604,104.08461962606505,germany
2026-01-31,76.78734252759342,49.3064867646992,104.26819829048765,germany
2026-01-01,109.11426220831693,91.58501315524974,126.64351126138412,switzerland
2026-01-02,106.18236171887061,88.65311266580342,123.7116107719378,switzerland
2026-01-03,106.07103824510526,88.54178919203807,123.60028729817245,switzerland
2026-01-04,103.0421243799421,85.5128753268749,120.57137343300928,switzerland
2026-01-05,99.6336552251578,82.1044061720906,117.16290427822499,switzerland
2026-01-06,102.63702889964206,85.10777984657487,120.16627795270925,switzerland
2026-01-07,104.88857232499772,87.35932327193053,122.41782137806491,switzerland
2026-01-08,104.98158780642576,87.45233875335857,122.51083685949295,switzerland
2026-01-09,104.74838689638678,87.21913784331959,122.27763594945397,switzerland
2026-01-10,104.85794673127636,87.32869767820917,122.38719578434355,switzerland
2026-01-11,103.88427219951048,86.35502314644329,121.41352125257767,switzerland
2026-01-12,102.2296621478433,84.70041309477611,119.75891120091049,switzerland
2026-01-13,102.97341530912702,85.44416625605983,120.50266436219421,switzerland
2026-01-14,103.94944492282555,86.42019586975836,121.47869397589274,switzerland
2026-01-15,104.24873141514175,86.71948236207456,121.77798046820894,switzerland
2026-01-16,104.23562367385908,86.70637462079189,121.76487272692627,switzerland
2026-01-17,104.22164261694726,86.69239356388007,121.75089167001445,switzerland
2026-01-18,103.92089906513428,86.39165001206709,121.45014811820147,switzerland
